artist,minimum,LF,RF,maximum,na.rm,out.of.range,unusual,description,feature
The Front Bottoms,7.11223840714,7.0977056026600005,7.84589028358,8.01542949677,TRUE,TRUE,TRUE,Out of Range,spectral_entropy
All Get Out,0.00740207638592,0.002992136287474998,0.014843371347545,0.016236782074,TRUE,FALSE,TRUE,Unusual,spectral_energyband_middle_low
Manchester Orchestra,0.00483011268079,0.0012714597396249992,0.017203046474635,0.0229709409177,TRUE,FALSE,FALSE,Within Range,spectral_energyband_middle_low
The Front Bottoms,0.0057830484584,4.5042298735000104e-4,0.01967563666405,0.0230633094907,TRUE,FALSE,FALSE,Within Range,spectral_energyband_middle_low
All Get Out,0.00305313011631,0.0031531204003775,0.008123064413667499,0.00932195037603,TRUE,TRUE,TRUE,Out of Range,spectral_energyband_middle_high
Manchester Orchestra,5.62088622246e-4,-0.0013243639841599994,0.007776217535139999,0.00898000784218,TRUE,FALSE,FALSE,Within Range,spectral_energyband_middle_high
The Front Bottoms,0.00383267272264,0.0029422489460599996,0.007689450168980001,0.00986930914223,TRUE,TRUE,TRUE,Out of Range,spectral_energyband_middle_high
All Get Out,1.56769965542e-4,0.0030104065080812526,0.014558898401473749,0.0273350160569,TRUE,FALSE,FALSE,Within Range,spectral_energyband_low
Manchester Orchestra,1.17135175969e-4,-0.013844035333075001,0.025105868233415,0.0362915582955,TRUE,FALSE,FALSE,Within Range,spectral_energyband_low
The Front Bottoms,0.00837745517492,0.005199338775150003,0.025406623724849996,0.0312695614994,TRUE,FALSE,FALSE,Within Range,spectral_energyband_low
All Get Out,9.07139037736e-5,-2.4151294929187475e-4,0.0014552971333653747,0.0014224894112,TRUE,FALSE,FALSE,Within Range,spectral_energyband_high
Manchester Orchestra,1.9030585463e-5,-7.518476704709999e-4,0.0011636987401289999,0.00186748872511,TRUE,FALSE,FALSE,Within Range,spectral_energyband_high
The Front Bottoms,4.41299140221e-4,1.7249560914749996e-4,0.0017305077053625,0.00289169047028,TRUE,FALSE,FALSE,Within Range,spectral_energyband_high
All Get Out,-1.16662191019e-8,-1.1142019917810002e-8,-4.718039570144999e-9,-4.0900705045e-9,TRUE,FALSE,FALSE,Within Range,spectral_decrease
Manchester Orchestra,-1.33347786146e-8,-1.5376616868695004e-8,-3.107313961684999e-9,-2.39255215639e-9,TRUE,FALSE,FALSE,Within Range,spectral_decrease
The Front Bottoms,-1.2806134819200001e-08,-1.3821257915879998e-8,-7.26090565452e-9,-5.23909493566e-9,TRUE,FALSE,FALSE,Within Range,spectral_decrease
All Get Out,10.9786834717,10.301604986162504,29.988508462937503,33.2580451965,TRUE,TRUE,TRUE,Out of Range,spectral_complexity
Manchester Orchestra,3.67030739784,-3.523820400249999,28.44250059125,30.5031356812,TRUE,FALSE,FALSE,Within Range,spectral_complexity
The Front Bottoms,11.9183702469,14.804765701249998,24.60296821595,28.5667858124,TRUE,TRUE,TRUE,Out of Range,spectral_complexity
All Get Out,836.20715332,419.53572083624965,2031.90782164875,1967.61682129,TRUE,TRUE,FALSE,Out of Range,spectral_centroid
Manchester Orchestra,418.644165039,-231.76016235749978,1683.7839660675,2106.83129883,TRUE,FALSE,FALSE,Within Range,spectral_centroid
The Front Bottoms,924.401367188,584.6712036099999,1869.6881713900002,2412.484375,TRUE,TRUE,FALSE,Out of Range,spectral_centroid
All Get Out,0.0153420232236,-0.07441805955018746,0.17488029878583747,0.335975408554,TRUE,FALSE,FALSE,Within Range,silence_rate_60dB
Manchester Orchestra,0.0101030115038,-0.15483122505275002,0.25883989222375003,0.661128938198,TRUE,FALSE,FALSE,Within Range,silence_rate_60dB
The Front Bottoms,0.0089515382424,-0.040289211086900006,0.0982163464651,0.203788429499,TRUE,FALSE,TRUE,Unusual,silence_rate_60dB
